INSTNM	lon	lat	State
CET-Salinas	-121.652804	36.6716399	CA
Cerritos College	-118.0972751	33.88584485	CA
Cerro Coso Community College	-117.6677182	35.56776806	CA
Chabot College	-122.1069822	37.64251796	CA
Chaffey College	-117.5730981	34.1470549	CA
Chapman University	-117.8514931	33.79368285	CA
Charles R Drew University of Medicine and Science	-118.2428032	33.92566284	CA
Concordia University-Irvine	-117.8106421	33.65350484	CA
San Diego Christian College	-116.9781239	32.84240878	CA
Church Divinity School of the Pacific	-122.2614042	37.87617396	CA
Citrus College	-117.8852781	34.13549189	CA
Citrus Heights Beauty College	-121.2895242	38.71310511	CA
City College of San Francisco	-122.4511682	37.72595794	CA
Claremont Graduate University	-117.7124061	34.10378289	CA
Claremont McKenna College	-117.7066051	34.10232789	CA
Milan Institute-Visalia	-119.3121636	36.27164502	CA
Clovis Adult Education	-119.6902027	36.83692005	CA
Coast Community College District Office	-117.9160781	33.67400883	CA
Coastline Community College	-117.9291551	33.71563884	CA
Cogswell College	-121.9408831	37.41405395	CA
Coleman University	-117.1365049	32.82196678	CA
Coba Cosmetology Academy	-117.8534921	33.78826285	CA
Western University of Health Sciences	-117.7477441	34.05809689	CA
Columbia College	-120.3876159	38.03036611	CA
Columbia College-Hollywood	-118.5384062	34.17960085	CA
El Camino College-Compton Center	-118.2091982	33.87666984	CA
Contra Costa Community College District Office	-122.1347872	38.01894799	CA
Contra Costa College	-122.3423992	37.96862797	CA
Cosumnes River College	-121.4229841	38.45384108	CA
Crafton Hills College	-117.101185	34.03918292	CA
Cuesta College	-120.7422477	35.33128084	CA
Cuyamaca College	-116.9410559	32.74307678	CA
Cypress College	-118.0239011	33.82762984	CA
De Anza College	-122.0453781	37.31918093	CA
International School of Beauty Inc	-116.4039398	33.72955992	CA
Dell'Arte International School of Physical Theatre	-123.9888219	40.88092905	CA
College of the Desert	-116.3876218	33.73248892	CA
Design Institute of San Diego	-117.1673859	32.88093078	CA
Diablo Valley College	-122.0698742	37.96803999	CA
Dominican University of California	-122.5146673	37.98001895	CA
Dominican School of Philosophy & Theology	-122.2646252	37.88110396	CA
East Los Angeles College	-118.1483962	34.03920986	CA
El Camino Community College District	-118.3266352	33.88559083	CA
Elegance International	-118.3383172	34.10042986	CA
Emperor's College of Traditional Oriental Medicine	-118.4847122	34.03030484	CA
Empire College	-122.7286553	38.46779398	CA
Evergreen Valley College	-121.7666991	37.30174095	CA
FIDM-Fashion Institute of Design & Merchandising-Los Angeles	-118.2599422	34.04421385	CA
FIDM-Fashion Institute of Design & Merchandising-San Francisco	-122.4065162	37.78632895	CA
FIDM-Fashion Institute of Design & Merchandising-Orange County	-117.8522661	33.69196784	CA
Feather River Community College District	-120.9708903	39.95240023	CA
Federico Beauty Institute	-121.4977742	38.64883509	CA
Fielding Graduate University	-119.7171735	34.42941481	CA
Five Branches University	-121.9984911	36.96413791	CA
Hair California Beauty Academy	-117.8367041	33.80579085	CA
Redondo Beach Beauty College	-118.3721492	33.87310283	CA
Foothill College	-122.1279771	37.36165993	CA
Franciscan School of Theology	-117.320078	33.23242081	CA
Fredrick and Charles Beauty College	-124.1657919	40.79881603	CA
Fresno City College	-119.7951417	36.76752104	CA
Fresno Pacific University	-119.7319657	36.72528404	CA
Foothill-De Anza Community College District	-122.1270671	37.36096593	CA
Fuller Theological Seminary in California	-118.1402732	34.14778487	CA
Fullerton College	-117.9169981	33.87679885	CA
Gavilan College	-121.568187	36.97327894	CA
Gemological Institute of America-Carlsbad	-117.318777	33.1313178	CA
Glendale Community College	-118.2282632	34.16642687	CA
Glendale Career College	-118.2547312	34.14977587	CA
Golden Gate University-San Francisco	-122.3987982	37.78921295	CA
Golden West College	-118.0030481	33.73377983	CA
Graduate Theological Union	-122.2618602	37.87554496	CA
Grossmont-Cuyamaca Community College District	-117.0073039	32.81605878	CA
Grossmont College	-117.0073039	32.81608178	CA
Salon Success Academy-Riverside	-117.391036	33.94315389	CA
Hartnell College	-121.668776	36.6730569	CA
Harvey Mudd College	-117.7106061	34.10614189	CA
Hilltop Beauty School	-122.4616872	37.70554994	CA
Holy Names University	-122.1871832	37.80265896	CA
Pacifica Graduate Institute	-119.5802764	34.42046882	CA
Humboldt State University	-124.0814139	40.87410504	CA
Humphreys University-Stockton and Modesto Campuses	-121.3164141	38.01105605	CA
Imperial Valley College	-115.5039146	32.82756786	CA
Institute for Business and Technology	-121.9695541	37.36864694	CA
Interior Designers Institute	-117.8657341	33.64139783	CA
Toni & Guy Hairdressing Academy-Santa Monica	-118.4949102	34.01747084	CA
Irvine Valley College	-117.7785871	33.67508384	CA
ITT Technical Institute-National City	-117.1060809	32.66156376	CA
ITT Technical Institute-San Dimas	-117.8184131	34.10240989	CA
ITT Technical Institute-Orange	-117.8962221	33.77975085	CA
Bellus Academy-El Cajon	-116.9457399	32.79483178	CA
John F. Kennedy University	-122.0547742	37.95662099	CA
American Jewish University	-118.4717762	34.12810385	CA
Reedley College	-119.4599426	36.60597305	CA
Life Pacific College	-117.8294001	34.09870988	CA
Argosy University-The Art Institute of California-San Diego	-117.1554069	32.77828277	CA
University of La Verne	-117.7726461	34.10086489	CA
Laguna College of Art and Design	-117.7725761	33.56145283	CA
Lake Tahoe Community College	-119.971644	38.92686923	CA
Lancaster Beauty School	-118.1486762	34.69565093	CA
Laney College	-122.2624472	37.79620996	CA
Lassen Community College	-120.6311823	40.4313323	CA
Life Chiropractic College West	-122.1162832	37.63764395	CA
Lincoln Law School of Sacramento	-121.4642842	38.57219508	CA
Lincoln University	-122.2697582	37.80479296	CA
Southern California Seminary	-116.9005429	32.80326378	CA
La Sierra University	-117.500066	33.91070888	CA
Loma Linda University	-117.260617	34.05124591	CA
Long Beach City College	-118.1358312	33.83174584	CA
Southern California University of Health Sciences	-117.9854591	33.92464286	CA
Los Angeles Community College District Office	-118.2580752	34.04877985	CA
Los Angeles Harbor College	-118.2818722	33.78420582	CA
Los Angeles Pierce College	-118.5750833	34.18395385	CA
Los Angeles Southwest College	-118.3046862	33.92959084	CA
Los Angeles Trade Technical College	-118.2694592	34.03191185	CA
Los Angeles Valley College	-118.4214582	34.17641086	CA
The Master's University and Seminary	-118.5174343	34.38214488	CA
Los Angeles City College	-118.2921812	34.08730586	CA
Los Angeles County College of Nursing and Allied Health	-118.2114302	34.06160986	CA
Los Angeles Mission College	-118.4190992	34.31494887	CA
Los Medanos College	-121.8611352	38.005557	CA
Los Rios Community College District Office	-121.4171582	38.57986409	CA
Argosy University-The Art Institute of California-San Francisco	-122.4134302	37.78057394	CA
Loyola Marymount University	-118.4157562	33.97085484	CA
Lu Ross Academy	-119.2939644	34.27803882	CA
Lyles Bakersfield College of Beauty	-119.0239154	35.38652995	CA
Lyles Fresno College of Beauty	-119.7737597	36.83625605	CA
Lytles Redwood Empire Beauty College Inc	-122.7585594	38.50858598	CA
MTI Business College Inc	-121.3085401	38.00732305	CA
MTI College	-121.3425812	38.6613821	CA
Brightwood College-Sacramento	-121.3804662	38.64446709	CA
Brightwood College-San Diego	-117.1330289	32.82171178	CA
Brightwood College-Vista	-117.2208279	33.17244481	CA
College of Marin	-122.5499493	37.95501895	CA
Marymount California University	-118.3334162	33.73463482	CA
Mendocino College	-123.2290435	39.19119499	CA
Menlo College	-122.1908101	37.45347993	CA
Merced College	-120.4767389	37.33535305	CA
Merritt College	-122.1673482	37.78909296	CA
Mills College	-122.1879032	37.78264396	CA
MiraCosta College	-117.302295	33.19123581	CA
Mission College	-121.9821871	37.39132794	CA
Modern Beauty Academy	-119.1814354	34.19538882	CA
Brightwood College-North Hollywood	-118.3961432	34.18267786	CA
Modesto Junior College	-121.009736	37.65204704	CA
Moler Barber College	-122.2651072	37.82683096	CA
Middlebury Institute of International Studies at Monterey	-121.896826	36.59983188	CA
Monterey Peninsula College	-121.885787	36.59083088	CA
Moorpark College	-118.8366363	34.30002285	CA
Mt San Antonio College	-117.8437121	34.04379088	CA
Mount Saint Mary's University	-118.4804832	34.08211685	CA
Mt San Jacinto Community College District	-116.9700749	33.8073689	CA
Mueller College	-117.1642889	32.76534577	CA
Musicians Institute	-118.3375942	34.10126986	CA
Napa Valley College	-122.2743943	38.274086	CA
National Holistic Institute	-122.2876852	37.84190296	CA
National University	-117.2442549	32.90947378	CA
Naval Postgraduate School	-121.874261	36.59716388	CA
Newschool of Architecture and Design	-117.1533169	32.71331476	CA
Newberry School of Beauty	-118.4994812	34.25748486	CA
North Adrian's College of Beauty Inc	-120.992766	37.67778304	CA
North Orange County Community College District	-117.9455711	33.84996185	CA
North-West College-Pomona	-117.7512391	34.06204788	CA
North-West College-West Covina	-117.9495951	34.07207588	CA
North-West College-Pasadena	-118.1392782	34.14691187	CA
Northwestern Polytechnic University	-121.9260141	37.47791496	CA
Notre Dame de Namur University	-122.2846312	37.51750593	CA
Occidental College	-118.2107952	34.12622887	CA
Oceanside College of Beauty	-117.365288	33.1788938	CA
Ohlone College	-121.9146101	37.52796096	CA
Orange Coast College	-117.9114131	33.67017583	CA
Otis College of Art and Design	-118.4166272	33.95661184	CA
Oxnard College	-119.1555023	34.16490382	CA
Hope International University	-117.8857421	33.87616486	CA
Concorde Career College-San Diego	-117.1018819	32.70406476	CA
Palo Alto University	-122.1860351	37.38325593	CA
Pacific Lutheran Theological Seminary	-122.2602142	37.89817697	CA
Pacific Oaks College	-118.1513352	34.15338687	CA
Pacific School of Religion	-122.2633442	37.87660396	CA
Pacific States University	-118.2984202	34.06131985	CA
Pacific Union College	-122.4403213	38.57059001	CA
University of the Pacific	-121.3123141	37.98142904	CA
Palo Verde College	-114.6517095	33.66154301	CA
Palomar College	-117.1817299	33.15019481	CA
Paris Beauty College	-122.0434712	37.97220899	CA
Pasadena City College	-118.1182082	34.14455687	CA
Pepperdine University	-118.7070893	34.03779083	CA
Peralta Community College System Office	-122.2597322	37.79302296	CA
Pitzer College	-117.7059511	34.10341289	CA
Platt College-San Diego	-117.0634949	32.76373477	CA
Point Loma Nazarene University	-117.2512159	32.71329976	CA
Pomona College	-117.7119561	34.09830289	CA
Porterville College	-119.0143805	36.04926102	CA
Professional Institute of Beauty	-118.0380122	34.07500487	CA
Santa Ana College	-117.8883961	33.75920784	CA
Pardee RAND Graduate School	-118.4904822	34.00997984	CA
Shasta School of Cosmetology	-122.3872616	40.59711917	CA
University of Redlands	-117.163859	34.06357592	CA
College of the Redwoods	-124.1953069	40.69843202	CA
Salon Success Academy-Upland	-117.6311031	34.1083579	CA
Salon Success Academy-Corona	-117.5356501	33.84765387	CA
Rio Hondo College	-118.0333411	34.01988286	CA
Riverside City College	-117.380552	33.9714859	CA
Argosy University-San Francisco Bay Area	-122.2675362	37.78124296	CA
Rosemead Beauty School	-118.0828052	34.08076087	CA
Dongguk University-Los Angeles	-118.2899392	34.06623086	CA
Rudolf Steiner College	-121.2889361	38.6359041	CA
Sacramento City College	-121.4916732	38.54188808	CA
Saddleback College	-117.664888	33.55192983	CA
Samuel Merritt University	-122.2663442	37.82029496	CA
San Diego Community College District-District Office	-117.1211519	32.77635277	CA
San Diego City College	-117.1516529	32.71885976	CA
Golf Academy of America-San Diego	-117.283406	33.1229148	CA
San Diego Mesa College	-117.1691769	32.80382977	CA
San Diego Miramar College	-117.1208999	32.90955079	CA
San Diego State University	-117.0712399	32.77525477	CA
University of San Diego	-117.1887329	32.77142477	CA
San Francisco Art Institute	-122.4170132	37.80357995	CA
San Francisco Conservatory of Music	-122.4201562	37.77532694	CA
San Francisco State University	-122.4779182	37.72134994	CA
San Francisco Theological Seminary	-122.5643153	37.96959895	CA
University of San Francisco	-122.4509902	37.77556894	CA
San Joaquin College of Law	-119.6978127	36.82398305	CA
San Joaquin Delta College	-121.3172391	37.99464804	CA
San Joaquin Valley College-Visalia	-119.3849936	36.32805402	CA
William Jessup University	-121.2923252	38.81973312	CA
San Jose-Evergreen Community College District	-121.8911931	37.33485595	CA
San Jose City College	-121.9297601	37.31629794	CA
San Jose State University	-121.8806341	37.33657395	CA
San Mateo County Community College District Office	-122.3376162	37.53118893	CA
College of San Mateo	-122.3360912	37.53436193	CA
Santa Barbara Business College-Bakersfield	-119.0612764	35.35954895	CA
Santa Barbara Business College-Santa Maria	-120.4333086	34.93781082	CA
Santa Barbara City College	-119.6980575	34.40679281	CA
Santa Clara University	-121.9382021	37.35271094	CA
Santa Monica College	-118.4704432	34.01897284	CA
Santa Rosa Junior College	-122.7207023	38.45416498	CA
Saybrook University	-122.2724042	37.80446496	CA
Scripps College	-117.7113481	34.10365989	CA
College of the Sequoias	-119.3147876	36.32296203	CA
Shasta Bible College and Graduate School	-122.3157556	40.56421317	CA
Shasta College	-122.3179956	40.62573618	CA
Sierra College	-121.2126592	38.79276312	CA
Sierra College of Beauty	-120.4956809	37.30659004	CA
Sierra Valley College of Court Reporting	-119.7730297	36.80276104	CA
Trinity Law School	-117.8520711	33.76607585	CA
Simpson University	-122.3330616	40.61331517	CA
College of the Siskiyous	-122.3891797	41.41385323	CA
Charles A Jones Career and Education Center	-121.4411232	38.51651508	CA
Skyline College	-122.4659912	37.63054793	CA
